,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
2185,易方达中债7-10年国开债A,19国开,20.82%,19国开,18.80%,18国开,15.03%,19国开,12.05%,20国开,10.27%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2186,大成360互联网+大数据100C,天沃科技,1.26%,御银股份,1.19%,中光学,1.11%,拓日新能,1.11%,日出东方,1.05%,沃尔核材,1.03%,长虹华意,1.01%,中文在线,1.01%,云图控股,1.00%,运达科技,1.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2187,前海开源瑞和债券A,贵州茅台,1.18%,宁德时代,1.13%,五 粮 液,1.11%,中国中免,1.01%,三一重工,0.86%,美的集团,0.80%,阳光电源,0.72%,立讯精密,0.66%,顺鑫农业,0.62%,迈瑞医疗,0.60%,18申宏02,6.67%,G17龙源2,6.60%,20兴业,5.68%,20附息,4.90%,20中证15,4.86%,0,0,0,0,0,0,0,0,0,0
2188,前海开源瑞和债券C,贵州茅台,1.18%,宁德时代,1.13%,五 粮 液,1.11%,中国中免,1.01%,三一重工,0.86%,美的集团,0.80%,阳光电源,0.72%,立讯精密,0.66%,顺鑫农业,0.62%,迈瑞医疗,0.60%,18申宏02,6.67%,G17龙源2,6.60%,20兴业,5.68%,20附息,4.90%,20中证15,4.86%,0,0,0,0,0,0,0,0,0,0
2189,浙商汇金中证转型成长指数,中航沈飞,1.39%,国联股份,1.35%,金域医学,1.35%,中材科技,1.34%,东方财富,1.34%,日月股份,1.34%,高德红外,1.30%,东方电缆,1.30%,宏达电子,1.29%,智飞生物,1.27%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2190,招商招轩纯债A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2191,招商招轩纯债C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2192,大成景禄灵活配置混合A,金龙鱼,3.15%,中国平安,2.73%,格力电器,2.17%,立讯精密,1.66%,云南白药,1.52%,兆易创新,1.33%,工商银行,1.28%,蓝思科技,1.25%,中国中免,1.23%,海康威视,1.20%,19粤铁,8.27%,18兴业,5.51%,19浦发,5.51%,18甘国,4.68%,20中铝,4.50%,0,0,0,0,0,0,0,0,0,0
2193,大成景禄灵活配置混合C,金龙鱼,3.15%,中国平安,2.73%,格力电器,2.17%,立讯精密,1.66%,云南白药,1.52%,兆易创新,1.33%,工商银行,1.28%,蓝思科技,1.25%,中国中免,1.23%,海康威视,1.20%,19粤铁,8.27%,18兴业,5.51%,19浦发,5.51%,18甘国,4.68%,20中铝,4.50%,0,0,0,0,0,0,0,0,0,0
2194,广发中债7-10年国开债指数A,19国开,23.18%,19国开,22.82%,18国开,18.20%,18国开,12.24%,20国开,7.57%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2195,广发中债7-10年国开债指数C,19国开,23.18%,19国开,22.82%,18国开,18.20%,18国开,12.24%,20国开,7.57%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2196,泰康策略优选混合,百润股份,6.37%,分众传媒,6.07%,酒鬼酒,4.46%,华友钴业,4.20%,水井坊,4.06%,迈为股份,3.86%,三一重工,3.85%,贵州茅台,3.83%,八方股份,3.64%,泰坦科技,3.49%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2197,信诚至选混合A,贵州茅台,1.23%,中国平安,1.02%,伊利股份,0.81%,招商银行,0.76%,五 粮 液,0.65%,兴业银行,0.62%,泸州老窖,0.61%,万 科Ａ,0.55%,宁德时代,0.55%,美的集团,0.53%,20民生,9.65%,20农发,6.13%,20拉萨,4.94%,18华宝01,3.73%,16川高,3.71%,0,0,0,0,0,0,0,0,0,0
2198,信诚至选混合C,贵州茅台,1.23%,中国平安,1.02%,伊利股份,0.81%,招商银行,0.76%,五 粮 液,0.65%,兴业银行,0.62%,泸州老窖,0.61%,万 科Ａ,0.55%,宁德时代,0.55%,美的集团,0.53%,20民生,9.65%,20农发,6.13%,20拉萨,4.94%,18华宝01,3.73%,16川高,3.71%,0,0,0,0,0,0,0,0,0,0
2199,民生加银鑫享债券A,18富力10,7.25%,19恒大01,6.14%,16厦门,5.41%,20大连,4.41%,19农发,4.18%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2200,民生加银鑫享债券C,18富力10,7.25%,19恒大01,6.14%,16厦门,5.41%,20大连,4.41%,19农发,4.18%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2201,金鹰添盈纯债债券,国开1702,83.00%,20国债,11.87%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2202,工银全球美元债A人民币,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2203,工银全球美元债A美元现汇,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2204,工银全球美元债C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2205,江信一年定开,国开1802,54.69%,国开1803,9.82%,PR云城投,9.01%,19西峡债,8.89%,16国债19,8.25%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2206,建信恒安一年定开债,18国开,4.44%,19国开,3.90%,20国开,3.27%,20进出,2.24%,16农发,2.13%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2207,安信尊享纯债,20进出,18.49%,19国开,16.21%,20进出,13.94%,19农发,11.47%,19国开,9.71%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2208,东方红优享红利混合,海康威视,8.16%,保利地产,7.84%,分众传媒,7.36%,敏华控股,7.36%,中南建设,7.28%,美的集团,5.96%,百润股份,5.85%,伊利股份,5.53%,立讯精密,4.85%,绿城服务,4.23%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2209,银华体育文化灵活配置混合,吉比特,5.69%,国联股份,5.65%,芒果超媒,5.26%,药明康德,4.79%,三七互娱,4.54%,立讯精密,4.50%,科大讯飞,4.06%,完美世界,3.73%,中公教育,3.36%,光线传媒,2.91%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2210,建信恒瑞一年定开债,20国开,13.90%,20国开,3.09%,国开1702,2.91%,19国开,2.88%,20国开,2.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2211,工银可转债债券,东方财富,1.69%,五 粮 液,1.59%,紫金矿业,1.52%,中国平安,1.42%,立讯精密,1.41%,迈瑞医疗,1.39%,先导智能,1.37%,桐昆股份,1.35%,海康威视,1.22%,国泰君安,1.15%,G三峡EB1,8.93%,光大转债,7.86%,20国债,4.94%,隆20转债,4.82%,歌尔转2,4.13%,0,0,0,0,0,0,0,0,0,0
2212,华商瑞丰短债A,20国开,7.30%,20红狮,4.92%,20国新,4.89%,20吴中,4.88%,14萧山,3.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2213,南方多元定开债券,20国开,14.14%,20国开,7.07%,19蓉城,5.22%,19中远,5.10%,20深圳,5.08%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2214,景顺长城景泰丰利纯债A,19农发,16.13%,19农发,13.79%,19国开,12.90%,19进出,9.10%,20农发,8.97%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2215,景顺长城景泰丰利纯债C,19农发,16.13%,19农发,13.79%,19国开,12.90%,19进出,9.10%,20农发,8.97%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2216,鹏华弘康灵活配置混合A,16农发,7.50%,16农发,7.49%,20国开,7.49%,20农发,7.45%,20农业,7.38%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2217,鹏华弘康灵活配置混合C,16农发,7.50%,16农发,7.49%,20国开,7.49%,20农发,7.45%,20农业,7.38%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2218,华泰柏瑞新经济沪港深混合,中金公司,9.81%,中信证券,8.53%,招商证券,8.43%,吉利汽车,8.25%,中信建投证券,8.02%,中国银河,7.57%,永达汽车,6.66%,广汽集团,6.26%,中国光大银行,6.13%,兴业证券,6.10%,20国债,0.37%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2219,招商财经大数据股票A,宁德时代,8.67%,长春高新,8.53%,山西汾酒,8.13%,亿纬锂能,6.10%,恩捷股份,5.14%,赣锋锂业,5.09%,通策医疗,4.96%,康泰生物,4.93%,三友化工,4.67%,新 和 成,4.63%,20国债,3.63%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2220,中加丰泽纯债债券,18甘国,5.30%,12桂交投,4.46%,17徐州,4.39%,18粤交,4.35%,20新投,4.30%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2221,华润元大润鑫债券A,20附息,6.05%,18国开,5.31%,18农发,5.10%,20贴现,4.83%,19进出,4.49%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2222,中欧弘安一年定期开放债券,16万达03,3.67%,19美置03,3.67%,20复地02,3.64%,20碧地01,3.63%,18金融,3.18%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2223,江信洪福纯债,15国开,11.46%,16农发,11.23%,18农发,9.64%,19井冈,7.58%,16天风01,7.50%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2224,江信添福A,19农发,23.80%,20进出,13.59%,18农发,12.12%,20进出,11.85%,20进出,11.73%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2225,江信添福C,19农发,23.80%,20进出,13.59%,18农发,12.12%,20进出,11.85%,20进出,11.73%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2226,建信恒远一年定开债,20国开,19.34%,20贴现,8.26%,20贴债,7.72%,20贴现,3.66%,20贴现,3.52%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2227,中加丰盈纯债债券,19赣州,6.88%,20农发,5.32%,17南京,4.95%,18福建,4.92%,18皖铁,4.89%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2228,中证兴业中高等级信用债指数,18延长01,3.39%,16国开,3.24%,20常德,1.93%,20济南,1.91%,18柳投控,1.82%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2229,兴业中短债C,19国开,20.02%,20贴现,19.77%,20国开,19.43%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2230,兴业中短债A,19国开,20.02%,20贴现,19.77%,20国开,19.43%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2231,信诚至瑞灵活配置A,贵州茅台,1.16%,中国平安,0.95%,伊利股份,0.77%,招商银行,0.71%,兴业银行,0.63%,五 粮 液,0.61%,泸州老窖,0.58%,宁德时代,0.52%,恒瑞医药,0.52%,工商银行,0.51%,20民生,6.80%,20农业,5.64%,20川高,4.63%,18诚通03,3.50%,20华泰S3,3.48%,0,0,0,0,0,0,0,0,0,0
2232,信诚至瑞灵活配置C,贵州茅台,1.16%,中国平安,0.95%,伊利股份,0.77%,招商银行,0.71%,兴业银行,0.63%,五 粮 液,0.61%,泸州老窖,0.58%,宁德时代,0.52%,恒瑞医药,0.52%,工商银行,0.51%,20民生,6.80%,20农业,5.64%,20川高,4.63%,18诚通03,3.50%,20华泰S3,3.48%,0,0,0,0,0,0,0,0,0,0
2233,博时鑫泽灵活配置混合A,日月股份,4.61%,中信特钢,3.61%,公牛集团,2.88%,中国平安,2.80%,西部超导,2.66%,芒果超媒,2.64%,万润股份,2.59%,亿纬锂能,2.56%,万华化学,2.49%,传音控股,2.35%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2234,博时鑫泽灵活配置混合C,日月股份,4.61%,中信特钢,3.61%,公牛集团,2.88%,中国平安,2.80%,西部超导,2.66%,芒果超媒,2.64%,万润股份,2.59%,亿纬锂能,2.56%,万华化学,2.49%,传音控股,2.35%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2235,招商招怡纯债A,17河钢,30.14%,19光大,19.95%,18豫投,15.02%,19华融,9.97%,19国开,4.95%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2236,招商招怡纯债C,17河钢,30.14%,19光大,19.95%,18豫投,15.02%,19华融,9.97%,19国开,4.95%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2237,招商招享纯债A,19国开,12.89%,18国开,8.84%,19国开,8.15%,19国开,7.18%,19国开,7.16%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2238,招商招享纯债C,19国开,12.89%,18国开,8.84%,19国开,8.15%,19国开,7.18%,19国开,7.16%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2239,招商招惠3个月定期开放债券A,20浦发,6.12%,20国开,5.64%,19农发,5.38%,19重庆,3.15%,20青岛,3.11%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2240,招商招惠3个月定期开放债券C,20浦发,6.12%,20国开,5.64%,19农发,5.38%,19重庆,3.15%,20青岛,3.11%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2241,中加丰享纯债债券,18国开,10.14%,19国开,8.37%,19国开,7.24%,16国开,6.49%,18国开,6.25%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2242,英大睿鑫A,明阳智能,6.20%,永辉超市,6.14%,广汇能源,6.13%,骆驼股份,6.07%,上汽集团,5.73%,中国太保,5.60%,艾华集团,5.48%,福能股份,5.34%,兴业银行,5.03%,景旺电子,4.92%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2243,英大睿鑫C,明阳智能,6.20%,永辉超市,6.14%,广汇能源,6.13%,骆驼股份,6.07%,上汽集团,5.73%,中国太保,5.60%,艾华集团,5.48%,福能股份,5.34%,兴业银行,5.03%,景旺电子,4.92%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2244,招商招华纯债A,18农发,3.38%,18进出,3.26%,18电投09,2.00%,18国开,1.96%,19青岛,1.96%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2245,招商招华纯债C,18农发,3.38%,18进出,3.26%,18电投09,2.00%,18国开,1.96%,19青岛,1.96%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2246,招商招信定开债A,20中铁,4.60%,20金茂,4.12%,20汇金,4.10%,19陕延,3.68%,19越秀,3.64%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2247,招商招信定开债C,20中铁,4.60%,20金茂,4.12%,20汇金,4.10%,19陕延,3.68%,19越秀,3.64%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2248,招商招盛纯债A,20汇金,9.68%,20深能,3.13%,19宝钢,2.83%,20进出,2.59%,19申能,2.09%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2249,招商招盛纯债C,20汇金,9.68%,20深能,3.13%,19宝钢,2.83%,20进出,2.59%,19申能,2.09%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2250,招商招通纯债A,19国开,9.25%,18国开,6.35%,20国开,6.09%,20国开,5.88%,19国开,5.17%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2251,招商招通纯债C,19国开,9.25%,18国开,6.35%,20国开,6.09%,20国开,5.88%,19国开,5.17%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2252,信达澳银新目标混合,恒生电子,3.86%,中国太保,3.20%,中国平安,2.90%,中科创达,2.87%,运达股份,2.86%,康拓红外,2.85%,卫星石化,2.59%,中信证券,2.59%,潍柴动力,2.51%,振华科技,2.44%,20国债,5.04%,进出1902,1.51%,21国债⑺,0.83%,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2253,国泰润泰纯债债券,12国开,17.46%,19中油,8.88%,18兴业,8.87%,15华能,8.84%,17工商,7.14%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2254,嘉实稳宏债券A,海尔智家,3.17%,水井坊,2.70%,星宇股份,2.41%,中国平安,2.18%,新华保险,2.05%,华鲁恒升,1.88%,华域汽车,1.70%,东方财富,1.68%,新泉股份,1.29%,华兰生物,1.14%,金能转债,8.40%,光大转债,7.16%,国开1802,5.51%,18西江,5.50%,20国开,5.43%,0,0,0,0,0,0,0,0,0,0
2255,嘉实稳宏债券C,海尔智家,3.17%,水井坊,2.70%,星宇股份,2.41%,中国平安,2.18%,新华保险,2.05%,华鲁恒升,1.88%,华域汽车,1.70%,东方财富,1.68%,新泉股份,1.29%,华兰生物,1.14%,金能转债,8.40%,光大转债,7.16%,国开1802,5.51%,20国开,5.43%,G三峡EB1,4.47%,0,0,0,0,0,0,0,0,0,0
2256,嘉实稳元纯债债券,18首钢,5.53%,20进出,4.92%,18陕煤,3.71%,17申证01,3.69%,18福特,3.69%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2257,前海联合添鑫3个月开债A,伊利股份,1.07%,万华化学,1.01%,美的集团,1.00%,招商银行,0.84%,中国太保,0.80%,上海机场,0.61%,东方财富,0.59%,春秋航空,0.59%,锦江酒店,0.58%,兴业银行,0.58%,16国开,17.29%,16国君G4,8.65%,17光证G2,7.04%,16华泰G4,6.97%,16中车01,6.93%,0,0,0,0,0,0,0,0,0,0
2258,前海联合添鑫3个月开债C,伊利股份,1.07%,万华化学,1.01%,美的集团,1.00%,招商银行,0.84%,中国太保,0.80%,上海机场,0.61%,东方财富,0.59%,春秋航空,0.59%,锦江酒店,0.58%,兴业银行,0.58%,16国开,17.29%,16国君G4,8.65%,17光证G2,7.04%,16华泰G4,6.97%,16中车01,6.93%,0,0,0,0,0,0,0,0,0,0
2259,前海联合沪深300指数A,贵州茅台,6.09%,中国平安,5.30%,五 粮 液,3.11%,招商银行,2.57%,美的集团,2.50%,恒瑞医药,2.38%,兴业银行,1.89%,格力电器,1.76%,海康威视,1.58%,中国中免,1.58%,20国债10,3.55%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2260,南方安颐混合,兴业银行,1.22%,贵州茅台,0.97%,南京银行,0.91%,保利地产,0.90%,中国平安,0.89%,平安银行,0.62%,潍柴动力,0.61%,格力电器,0.60%,伊利股份,0.60%,万 科Ａ,0.59%,18中油EB,4.06%,11国开,3.49%,G18龙源2,3.48%,16农发,3.47%,20CHNE04,3.47%,0,0,0,0,0,0,0,0,0,0
2261,金鹰鑫益混合A,航天电器,0.75%,博汇纸业,0.75%,兴业银行,0.75%,宏达电子,0.65%,中国平安,0.63%,中金公司,0.61%,中密控股,0.60%,海尔智家,0.58%,天赐材料,0.56%,中科电气,0.53%,16京电,7.21%,18广发01,7.19%,18复地01,7.15%,17蓉经,5.85%,国开20,5.37%,0,0,0,0,0,0,0,0,0,0
2262,金鹰鑫益混合C,航天电器,0.75%,博汇纸业,0.75%,兴业银行,0.75%,宏达电子,0.65%,中国平安,0.63%,中金公司,0.61%,中密控股,0.60%,海尔智家,0.58%,天赐材料,0.56%,中科电气,0.53%,16京电,7.21%,18广发01,7.19%,18复地01,7.15%,17蓉经,5.85%,国开20,5.37%,0,0,0,0,0,0,0,0,0,0
2263,平安惠隆纯债A,15农发,29.85%,19农发,19.68%,20进出,19.64%,20国开,9.88%,20国开,9.78%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2264,平安惠融纯债,20国开,8.98%,20华夏,7.38%,18浙商,5.32%,20交通,5.27%,18重庆,4.77%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2265,申万菱信安鑫优选混合A,比亚迪,3.15%,石头科技,3.12%,亿联网络,2.18%,梦百合,2.11%,华夏航空,2.09%,紫金矿业,1.63%,卫星石化,1.56%,江山欧派,1.56%,凯伦股份,1.44%,金禾实业,1.10%,20光证S1,5.41%,20中电,5.39%,20中化,5.27%,18京汽,4.15%,19朝纾01,4.11%,0,0,0,0,0,0,0,0,0,0
2266,富国天惠成长混合C,智飞生物,5.26%,伊利股份,4.18%,贵州茅台,3.79%,顺丰控股,3.74%,中国平安,3.69%,五 粮 液,3.61%,国瓷材料,3.53%,宁波银行,3.23%,格力电器,2.81%,立讯精密,2.71%,18国开,0.33%,20国开,0.16%,16进出,0.16%,06国开,0.16%,国开20,0.11%,0,0,0,0,0,0,0,0,0,0
2267,鹏华弘尚灵活配置混合A,红相股份,1.94%,伊利股份,1.61%,宏达电子,1.22%,中材科技,1.14%,建发股份,1.09%,光明乳业,0.94%,航天发展,0.90%,龙蟒佰利,0.74%,科顺股份,0.70%,立讯精密,0.68%,18国开,7.27%,14金资02,6.73%,19华电03,6.12%,19中海02,6.06%,19浦集02,6.06%,0,0,0,0,0,0,0,0,0,0
2268,鹏华弘尚灵活配置混合C,红相股份,1.94%,伊利股份,1.61%,宏达电子,1.22%,中材科技,1.14%,建发股份,1.09%,光明乳业,0.94%,航天发展,0.90%,龙蟒佰利,0.74%,科顺股份,0.70%,立讯精密,0.68%,18国开,7.27%,14金资02,6.73%,19华电03,6.12%,19中海02,6.06%,19浦集02,6.06%,0,0,0,0,0,0,0,0,0,0
2269,银华添泽定开债,18皖投02,6.21%,20华夏,6.19%,20国君G6,5.19%,18深圳,5.18%,18京热,5.17%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2270,前海联合添和纯债A,18国开,11.26%,20重庆,9.22%,18建信,8.07%,18浦银,8.06%,18招银,8.06%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2271,前海联合添和纯债C,18国开,11.26%,20重庆,9.22%,18建信,8.07%,18浦银,8.06%,18招银,8.06%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2272,鑫元聚利债券,20兴业,9.58%,18大唐,9.40%,19沪国,6.85%,19国开,4.92%,19国开,4.91%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2273,泰达睿智稳健灵活配置混合,长春高新,5.10%,立讯精密,4.85%,迈瑞医疗,4.84%,海康威视,4.67%,恒瑞医药,4.27%,东山精密,3.69%,京东方Ａ,3.60%,宏发股份,3.48%,景旺电子,3.26%,三环集团,3.05%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2274,金鹰鑫瑞混合A,美的集团,4.02%,海尔智家,3.15%,旗滨集团,3.02%,中国平安,2.54%,顺丰控股,2.43%,平安银行,2.41%,福耀玻璃,2.39%,宁波银行,2.29%,宏发股份,2.26%,三一重工,2.25%,18国开,8.30%,20平证07,8.30%,18东风,5.56%,19徽商,5.55%,18厦门,5.54%,0,0,0,0,0,0,0,0,0,0
2275,金鹰鑫瑞混合C,美的集团,4.02%,海尔智家,3.15%,旗滨集团,3.02%,中国平安,2.54%,顺丰控股,2.43%,平安银行,2.41%,福耀玻璃,2.39%,宁波银行,2.29%,宏发股份,2.26%,三一重工,2.25%,18国开,8.30%,20平证07,8.30%,18东风,5.56%,19徽商,5.55%,18厦门,5.54%,0,0,0,0,0,0,0,0,0,0
2276,景顺长城景颐丰利债券A,18湖州,5.74%,19中电,5.59%,15苏交,5.57%,18国新,5.55%,20金融,5.55%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2277,景顺长城景颐丰利债券C,18湖州,5.74%,19中电,5.59%,15苏交,5.57%,18国新,5.55%,20金融,5.55%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2278,长盛可转债债券A,五 粮 液,1.53%,通威股份,1.44%,立讯精密,1.43%,恒瑞医药,1.35%,美的集团,1.18%,东方雨虹,1.16%,分众传媒,1.07%,鹏鼎控股,1.04%,万华化学,1.00%,中国中免,0.97%,苏银转债,6.39%,19中电EB,6.25%,国投转债,5.76%,长证转债,4.71%,国开1805,4.60%,0,0,0,0,0,0,0,0,0,0
2279,长盛可转债债券C,五 粮 液,1.53%,通威股份,1.44%,立讯精密,1.43%,恒瑞医药,1.35%,美的集团,1.18%,东方雨虹,1.16%,分众传媒,1.07%,鹏鼎控股,1.04%,万华化学,1.00%,中国中免,0.97%,苏银转债,6.39%,19中电EB,6.25%,国投转债,5.76%,长证转债,4.71%,国开1805,4.60%,0,0,0,0,0,0,0,0,0,0
